company_name,opportunity_title,function,seniority,year,outcome,notes,closed_date,company_stage_at_placement,geo,candidate_name,opportunity_owner,service_type
Achieve,Freedom Financial  - Chief Data Officer,Data/ML/AI,Head,2018,Placement,stage_at_placement=PE-Backed; geo=Bay Area; candidate=Rajeev Guliani; owner=Jason Hann; service=Retained,2018-08-27T00:00:00,PE-Backed,Bay Area,Rajeev Guliani,Jason Hann,Retained
Achieve,"Freedom Financial - Director of Engineering, Marcom (as VP Engineering)",Engineering,Director,2019,Placement,stage_at_placement=PE-Backed; geo=Bay Area; candidate=Nathan Broslawsky; owner=Emilie Dolan; service=Retained,2019-12-26T00:00:00,PE-Backed,Bay Area,Nathan Broslawsky,Emilie Dolan,Retained
Achieve,Freedom Financial - Chief Data Officer,Data/ML/AI,CXO,2020,Placement,stage_at_placement=PE-Backed; geo=Bay Area; candidate=Shwetank Kumar; owner=Sandy Ma; service=Retained,2020-03-03T00:00:00,PE-Backed,Bay Area,Shwetank Kumar,Sandy Ma,Retained
Achieve,Freedom Financial - VP Data Platform,Engineering,VP,2020,Placement,stage_at_placement=PE-Backed; geo=Bay Area; candidate=Sudhir Srinivas; owner=Sandy Ma; service=Retained,2020-07-09T00:00:00,PE-Backed,Bay Area,Sudhir Srinivas,Sandy Ma,Retained
Achieve,"Freedom Financial - Director of Engineering, Platform (as VP Engineering, Platform)",Engineering,VP,2020,Placement,stage_at_placement=PE-Backed; geo=Bay Area; candidate=Manan Mehra; owner=Emilie Dolan; service=Retained,2020-07-10T00:00:00,PE-Backed,Bay Area,Manan Mehra,Emilie Dolan,Retained
Achieve,Freedom Financial - VP Engineering (Lending),Engineering,VP,2021,Placement,stage_at_placement=PE-Backed; geo=Bay Area; candidate=David Cunha; owner=John Twamley; service=Retained,2021-03-01T00:00:00,PE-Backed,Bay Area,David Cunha,John Twamley,Retained
Achieve,Freedom Financial - Director of Data Science,Data/ML/AI,Director,2021,Placement,stage_at_placement=Financial Services; geo=Bay Area; candidate=Jim Olness; owner=Sandy Ma; service=Bluebird,2021-04-20T00:00:00,Financial Services,Bay Area,Jim Olness,Sandy Ma,Bluebird
Affirm,Affirm - SVP Engineering,Engineering,VP,2019,Placement,stage_at_placement=Series E+; geo=Bay Area; candidate=Stevan Vlaovic; owner=Dirk Cleveland; service=Retained,2019-06-25T00:00:00,Series E+,Bay Area,Stevan Vlaovic,Dirk Cleveland,Retained
Affirm,Affirm - Sr. Fullstack Engineer,Engineering,IC,2019,Placement,stage_at_placement=Series B; geo=Bay Area; candidate=Benoy Maniara; owner=Rivi HQ; service=Contingency,2019-06-25T00:00:00,Series B,Bay Area,Benoy Maniara,Rivi HQ,Contingency
Affirm,Affirm - Sr. Fullstack Engineer,Engineering,IC,2019,Placement,stage_at_placement=Series B; geo=Bay Area; candidate=Emerson Hum; owner=Rivi HQ; service=Contingency,2019-08-06T00:00:00,Series B,Bay Area,Emerson Hum,Rivi HQ,Contingency
Affirm,Affirm - Head of Product (as SVP Product),Product Management,VP,2020,Placement,stage_at_placement=Series E+; geo=Bay Area; candidate=Chung-Man Tam; owner=Andrew Abramson; service=Retained,2020-02-05T00:00:00,Series E+,Bay Area,Chung-Man Tam,Andrew Abramson,Retained
Affirm,Affirm - VP Design,Design/UX,VP,2020,Placement,stage_at_placement=Series E+; geo=Bay Area; candidate=Debbie Kawamoto; owner=Dirk Cleveland; service=Retained,2020-12-11T00:00:00,Series E+,Bay Area,Debbie Kawamoto,Dirk Cleveland,Retained
Affirm,"Affirm - VP Product, Consumer",Product Management,VP,2021,Placement,stage_at_placement=Public; geo=Bay Area; candidate=Vinod Kumar Ramachandran; owner=Andrew Abramson; service=Retained,2021-09-02T00:00:00,Public,Bay Area,Vinod Kumar Ramachandran,Andrew Abramson,Retained
Affirm,"Affirm - VP of Engineering, Merchant",Engineering,VP,2021,Placement,stage_at_placement=Public; geo=Bay Area; candidate=Mahi Sethuraman; owner=John Twamley; service=Retained,2021-10-21T00:00:00,Public,Bay Area,Mahi Sethuraman,John Twamley,Retained
Affirm,"Affirm - VP of Engineering, International",Engineering,VP,2021,Placement,stage_at_placement=Public; candidate=Ankush Koratkar; owner=John Twamley; service=Bluebird,2021-11-01T00:00:00,Public,,Ankush Koratkar,John Twamley,Bluebird
Affirm,"Affirm - Senior Director, Software Engineering - Financial Products",Engineering,Director,2021,Placement,stage_at_placement=Public; candidate=Ferhan Elvanoglu; owner=John Twamley; service=Retained,2021-12-11T00:00:00,Public,,Ferhan Elvanoglu,John Twamley,Retained
Affirm,"Affirm - Sr. Director of Software Engineering, Credit",Engineering,Director,2022,Placement,stage_at_placement=Public; candidate=Darien Ford; owner=John Twamley; service=Retained,2022-03-07T00:00:00,Public,,Darien Ford,John Twamley,Retained
Affirm,"Affirm - Director of Product, International",Product Management,Director,2022,Placement,stage_at_placement=Public; candidate=Vik Raman; owner=John Twamley; service=Retained,2022-03-29T00:00:00,Public,,Vik Raman,John Twamley,Retained
Affirm,"Affirm - VP of Engineering, Development Platform",Engineering,VP,2022,Placement,stage_at_placement=Public; candidate=Jeff Ayars; owner=Gino Morell; service=Retained,2022-04-26T00:00:00,Public,,Jeff Ayars,Gino Morell,Retained
Affirm,Affirm - VP of Engineering - Service Infrastructure and SRE,Engineering,VP,2022,Placement,stage_at_placement=Public; geo=Bay Area; candidate=Rajeev Lamba; owner=Gino Morell; service=Retained,2022-05-02T00:00:00,Public,Bay Area,Rajeev Lamba,Gino Morell,Retained
Affirm,"Affirm - Director of Product, Merchant API",Product Management,Director,2022,Placement,stage_at_placement=Public; candidate=Sudhindhar Janakiraman; owner=John Twamley; service=Bluebird,2022-05-16T00:00:00,Public,,Sudhindhar Janakiraman,John Twamley,Bluebird
Affirm,"Affirm - Sr. Director of Engineering, Merchant",Engineering,Director,2022,Placement,stage_at_placement=Public; geo=Bay Area; candidate=Laukik Watve; owner=Chloe Kataev; service=Retained,2022-05-16T00:00:00,Public,Bay Area,Laukik Watve,Chloe Kataev,Retained
Affirm,"Affirm - Senior Director of Product Design, Merchant",Design/UX,Director,2022,Placement,stage_at_placement=Public; candidate=Larry Butcher; owner=Michelle Stevens; service=Retained,2022-09-01T00:00:00,Public,,Larry Butcher,Michelle Stevens,Retained
Affirm,"Affirm - VP of Engineering, Data and Storage Platform",Engineering,VP,2022,Placement,stage_at_placement=Public; geo=Bay Area; candidate=Thomas Park; owner=Gino Morell; service=Retained,2022-09-26T00:00:00,Public,Bay Area,Thomas Park,Gino Morell,Retained
Airbnb,Airbnb - Software Engineer,Engineering,Other,2011,Placement,stage_at_placement=Series B; candidate=Alexander Brehm; owner=Rivi HQ; service=Contingency,2011-05-02T00:00:00,Series B,,Alexander Brehm,Rivi HQ,Contingency
Airbnb,Airbnb -Site Reliability Eng,Engineering,Other,2013,Placement,candidate=Jon Tai; owner=Rivi HQ; service=Contingency,2013-02-21T00:00:00,,,Jon Tai,Rivi HQ,Contingency
Airbnb,Airbnb - Back-End Engineer,Engineering,Other,2014,Placement,stage_at_placement=Series D; candidate=Siddharth Kar; owner=Rivi HQ; service=Contingency,2014-01-28T00:00:00,Series D,,Siddharth Kar,Rivi HQ,Contingency
Airbnb,Airbnb - Director of Product,Product Management,Director,2018,Placement,stage_at_placement=Series E+; geo=Bay Area; candidate=Namrata Patel; owner=Austin Brizendine; service=Retained,2018-06-26T00:00:00,Series E+,Bay Area,Namrata Patel,Austin Brizendine,Retained
Airbnb,"Airbnb - Director of Product, Luxury Retreats",Product Management,Director,2018,Placement,stage_at_placement=Series E+; geo=Bay Area; candidate=Jonathan Crowley; owner=Andrew Abramson; service=Retained,2018-12-21T00:00:00,Series E+,Bay Area,Jonathan Crowley,Andrew Abramson,Retained
Airbnb,"AirBnB - Head of Engineering Platform, Homes",Engineering,Head,2019,Placement,stage_at_placement=Series E+; geo=Bay Area; candidate=Usman Abbasi; owner=Jenna Zucker; service=Retained,2019-06-03T00:00:00,Series E+,Bay Area,Usman Abbasi,Jenna Zucker,Retained
Airbnb,"Airbnb - Head of Product, Host Growth",Product Management,Head,2019,Placement,stage_at_placement=Series E+; geo=Bay Area; candidate=Sanjay Raman; owner=Andrew Abramson; service=Retained,2019-06-16T00:00:00,Series E+,Bay Area,Sanjay Raman,Andrew Abramson,Retained
Airbnb,Airbnb - PM Lead-Homes Platform,Product Management,IC,2019,Placement,stage_at_placement=Series E+; geo=Bay Area; candidate=Nabarupa Banerjee; owner=Andrew Abramson; service=Retained,2019-07-16T00:00:00,Series E+,Bay Area,Nabarupa Banerjee,Andrew Abramson,Retained
Airbnb,"Airbnb - Director of Product, HotelTonight",Product Management,Director,2019,Placement,stage_at_placement=Series E+; geo=Bay Area; candidate=Pavan Tapadia; owner=Andrew Abramson; service=Retained,2019-09-12T00:00:00,Series E+,Bay Area,Pavan Tapadia,Andrew Abramson,Retained
Airbnb,Airbnb - Director of Product - Guest,Product Management,Director,2019,Placement,stage_at_placement=Series E+; geo=Bay Area; candidate=Pedraum Pardehpoosh; owner=Andrew Abramson; service=Retained,2019-12-18T00:00:00,Series E+,Bay Area,Pedraum Pardehpoosh,Andrew Abramson,Retained
Airbnb,"Airbnb - Product Lead, Guest Store",Product Management,IC,2021,Placement,stage_at_placement=Series E+; geo=Bay Area; candidate=Tim Weingarten; owner=Andrew Abramson; service=Bluebird,2021-01-08T00:00:00,Series E+,Bay Area,Tim Weingarten,Andrew Abramson,Bluebird
Airbnb,"AirBnB - Director of Product, Marketing",Product Management,Director,2022,Placement,stage_at_placement=Public; geo=Bay Area; candidate=Connie Lee Schiefer; owner=Alesandra Pacheco; service=Retained,2022-10-11T00:00:00,Public,Bay Area,Connie Lee Schiefer,Alesandra Pacheco,Retained
Airbnb,"AirBnB - Director, Client Foundation & Products",Engineering,Director,2022,Placement,stage_at_placement=Public; geo=Bay Area; candidate=Jordanna Kwok; owner=Kyle Langworthy; service=Retained,2022-10-24T00:00:00,Public,Bay Area,Jordanna Kwok,Kyle Langworthy,Retained
Airbnb,"AirBnB - Director of Engineering, Host Pricing",Engineering,Director,2023,Placement,stage_at_placement=Public; geo=Bay Area; candidate=Cheryl Quirion; owner=Kyle Langworthy; service=Retained,2023-02-08T00:00:00,Public,Bay Area,Cheryl Quirion,Kyle Langworthy,Retained
Altvia,Altvia - VP of Engineering,Engineering,VP,2023,Placement,stage_at_placement=PE-Backed; geo=Colorado; candidate=Jef Rice; owner=Robert Seiden; service=Retained,2023-02-05T00:00:00,PE-Backed,Colorado,Jef Rice,Robert Seiden,Retained
Altvia,Altvia - VP/Head of Product,Product Management,Head,2025,Placement,stage_at_placement=PE-Backed; geo=Colorado; candidate=Sebastian Holst; owner=Robert Seiden; service=Retained,2025-12-10T00:00:00,PE-Backed,Colorado,Sebastian Holst,Robert Seiden,Retained
Altvia,Altvia - CONFIDENTIAL VP Engineering,Engineering,VP,2025,Placement,stage_at_placement=PE-Backed; geo=Colorado; candidate=Joseph Mosby; owner=Robert Seiden; service=Retained,2025-12-16T00:00:00,PE-Backed,Colorado,Joseph Mosby,Robert Seiden,Retained
Amobee,Amobee - CTO 2017,Engineering,CXO,2017,Placement,stage_at_placement=Public; geo=Bay Area; candidate=Shouvick Mukherjee; owner=Iain Grant; service=Retained,2017-05-15T00:00:00,Public,Bay Area,Shouvick Mukherjee,Iain Grant,Retained
Amobee,Amobee - CPO,Product Management,CXO,2021,Placement,stage_at_placement=Public; geo=Bay Area; candidate=Niraj Deo; owner=Iain Grant; service=Retained,2021-06-02T00:00:00,Public,Bay Area,Niraj Deo,Iain Grant,Retained
Amobee,Amobee - CTO,Engineering,CXO,2021,Placement,stage_at_placement=Public; geo=Bay Area; candidate=Gregory Smith; owner=James Miller; service=Retained,2021-10-21T00:00:00,Public,Bay Area,Gregory Smith,James Miller,Retained
Ancestry,Ancestry - Data Scientist,Engineering,Other,2016,Placement,stage_at_placement=Public; geo=Bay Area; candidate=Tyler Tuan; owner=Rivi HQ; service=Team Svcs Retainer,2016-03-16T00:00:00,Public,Bay Area,Tyler Tuan,Rivi HQ,Team Svcs Retainer
Ancestry,Ancestry - Tech Lead - Search and Ranking,Engineering,IC,2017,Placement,stage_at_placement=Public; geo=Bay Area; candidate=Alex Li; owner=Will Hunsinger; service=Contingency,2017-01-10T00:00:00,Public,Bay Area,Alex Li,Will Hunsinger,Contingency
Ancestry,Ancestry.com - VP of Product 2021,Product Management,VP,2021,Placement,stage_at_placement=PE-Backed; geo=Bay Area; candidate=Jen Dante; owner=Chris Rice; service=Retained,2021-11-29T00:00:00,PE-Backed,Bay Area,Jen Dante,Chris Rice,Retained
Ancestry,Ancestry.com - VP of Product,Product Management,VP,2021,Placement,stage_at_placement=PE-Backed; geo=Bay Area; candidate=Jack Bernstein; owner=Chris Rice; service=Bluebird,2021-11-30T00:00:00,PE-Backed,Bay Area,Jack Bernstein,Chris Rice,Bluebird
ASOS,"ASOS - EVP, Digital Product",Product Management,VP,2023,Placement,stage_at_placement=Public; geo=Europe; candidate=Anthony Ben Sadoun; owner=Pete Alexander; service=Retained,2023-12-17T00:00:00,Public,Europe,Anthony Ben Sadoun,Pete Alexander,Retained
ASOS,ASOS - EVP Technology,Engineering,VP,2024,Placement,stage_at_placement=Public; geo=Europe; candidate=Przemek Czarnecki; owner=Pete Alexander; service=Retained,2024-11-11T00:00:00,Public,Europe,Przemek Czarnecki,Pete Alexander,Retained
ASOS,ASOS - Director of Operations,Information Technology,Director,2025,Placement,stage_at_placement=Public; geo=Europe; candidate=Luis Mineiro; owner=Sistla Vaishnavi; service=Retained,2025-06-30T00:00:00,Public,Europe,Luis Mineiro,Sistla Vaishnavi,Retained
Asurion,Asurion - VP of AI & Platforms,Data/ML/AI,VP,2025,Placement,stage_at_placement=PE-Backed; geo=Bay Area; candidate=Nihar Modi; owner=Matt Skiba; service=Retained,2025-07-21T00:00:00,PE-Backed,Bay Area,Nihar Modi,Matt Skiba,Retained
Asurion,Asurion - Chief Technology Officer (Confidential),Engineering,CXO,2025,Placement,stage_at_placement=PE-Backed; geo=Bay Area; candidate=Nan Guo; owner=Matt Skiba; service=Retained,2025-11-24T00:00:00,PE-Backed,Bay Area,Nan Guo,Matt Skiba,Retained
Asurion,"Asurion - VP, Chief of Staff",Product Management,VP,2026,Placement,stage_at_placement=PE-Backed; geo=Bay Area; candidate=Mariana Borba; owner=Matt Skiba; service=Retained,2026-03-23T00:00:00,PE-Backed,Bay Area,Mariana Borba,Matt Skiba,Retained
Asurion,"Asurion - VP of Engineering, Customer Experience",Engineering,VP,2026,Placement,stage_at_placement=PE-Backed; geo=Bay Area; candidate=Deepa Ramachandran; owner=James Miller; service=Retained,2026-06-19T00:00:00,PE-Backed,Bay Area,Deepa Ramachandran,James Miller,Retained
Atlassian,Atlassian - CPO,Product Management,CXO,2017,Placement,stage_at_placement=Public; geo=Bay Area; candidate=Joff Redfern; owner=Austin Brizendine; service=Retained,2017-06-07T00:00:00,Public,Bay Area,Joff Redfern,Austin Brizendine,Retained
Atlassian,"Atlassian - GPM, Confluence",Product Management,IC,2017,Placement,stage_at_placement=Public; geo=Bay Area; candidate=Pratima Arora; owner=Austin Brizendine; service=Retained,2017-07-21T00:00:00,Public,Bay Area,Pratima Arora,Austin Brizendine,Retained
Atlassian,Atlassian - VP Product 2018,Product Management,VP,2018,Placement,stage_at_placement=Public; geo=Australia; candidate=Noah Wasmer; owner=Austin Brizendine; service=Retained,2018-10-23T00:00:00,Public,Australia,Noah Wasmer,Austin Brizendine,Retained
Atlassian,Atlassian - VP Product 2021,Product Management,VP,2021,Placement,stage_at_placement=Public; geo=Bay Area; candidate=Erika Trautman; owner=Andrew Abramson; service=Retained,2021-10-26T00:00:00,Public,Bay Area,Erika Trautman,Andrew Abramson,Retained
Atlassian,"Atlassian - Head of Engineering, Economy (as Head of Engineering, Jira Align)",Engineering,Head,2022,Placement,stage_at_placement=Public; candidate=Paulo Gustavo Veiga; owner=Michael Tumasian; service=Retained,2022-01-14T00:00:00,Public,,Paulo Gustavo Veiga,Michael Tumasian,Retained
Atlassian,Atlassian - VP Product,Product Management,VP,2022,Placement,stage_at_placement=Public; geo=Bay Area; candidate=Genevieve Sheehan; owner=Andrew Abramson; service=Retained,2022-06-01T00:00:00,Public,Bay Area,Genevieve Sheehan,Andrew Abramson,Retained
Atlassian,Atlassian - Head of DevOps Engineering (as Head of Engineering),Engineering,Head,2022,Placement,stage_at_placement=Public; geo=Bay Area; candidate=Daniel Tao; owner=Michael Tumasian; service=Retained,2022-06-29T00:00:00,Public,Bay Area,Daniel Tao,Michael Tumasian,Retained
AutoScout24,Autoscout24 - VP Engineering (Confidential),Engineering,VP,2025,Placement,stage_at_placement=PE-Backed; geo=Canada; candidate=Diana Tang; owner=Steve Kasmouski; service=Retained,2025-06-23T00:00:00,PE-Backed,Canada,Diana Tang,Steve Kasmouski,Retained
AutoScout24,Autoscout24 - VP Product (Confidential),Product Management,VP,2025,Placement,stage_at_placement=PE-Backed; geo=Canada; candidate=German Karaivanov; owner=Steve Kasmouski; service=Retained,2025-06-25T00:00:00,PE-Backed,Canada,German Karaivanov,Steve Kasmouski,Retained
AutoScout24,Autoscout24 - Director of Product,Product Management,Director,2025,Placement,stage_at_placement=PE-Backed; geo=Europe; candidate=Jelena Vukadinovic; owner=Jacob Williamson; service=Retained,2025-08-04T00:00:00,PE-Backed,Europe,Jelena Vukadinovic,Jacob Williamson,Retained
AutoScout24,Autoscout24 - Head of Data Science,Data/ML/AI,Head,2025,Placement,stage_at_placement=PE-Backed; geo=Europe; candidate=Jeff Doering; owner=Steve Kasmouski; service=Retained,2025-10-23T00:00:00,PE-Backed,Europe,Jeff Doering,Steve Kasmouski,Retained
AutoScout24,Autoscout24 - VP of Product,Product Management,Director,2025,Placement,stage_at_placement=PE-Backed; geo=Other East Coast; candidate=Marshall Goldfarb; owner=Steve Kasmouski; service=Retained,2025-11-14T00:00:00,PE-Backed,Other East Coast,Marshall Goldfarb,Steve Kasmouski,Retained
AutoScout24,Autoscout24 - Director of Business Analytics,Administrative,Director,2026,Placement,stage_at_placement=PE-Backed; geo=Europe; candidate=Quentin Cassier; owner=Lydia Shepherd; service=Retained,2026-02-25T00:00:00,PE-Backed,Europe,Quentin Cassier,Lydia Shepherd,Retained
AutoScout24,Autoscout24 - Vice President of Engineering,Engineering,Director,2026,Placement,stage_at_placement=PE-Backed; geo=Europe; candidate=Ali Mehrpour; owner=Steve Kasmouski; service=Retained,2026-03-11T00:00:00,PE-Backed,Europe,Ali Mehrpour,Steve Kasmouski,Retained
Avalara,Avalara - SVP of Engineering (as VP Returns),Engineering,VP,2020,Placement,stage_at_placement=Public; geo=Seattle; candidate=Denis Gulsen; owner=James Miller; service=Retained,2020-03-12T00:00:00,Public,Seattle,Denis Gulsen,James Miller,Retained
Avalara,Avalara - VP Registrations,Engineering,VP,2020,Placement,stage_at_placement=Public; geo=Seattle; candidate=Masayuji Karahashi; owner=Gino Morell; service=Retained,2020-05-04T00:00:00,Public,Seattle,Masayuji Karahashi,Gino Morell,Retained
Avalara,Avalara - VP Connectors,Engineering,VP,2020,Placement,stage_at_placement=Public; geo=Seattle; candidate=Hemendra Pal; owner=Kyle Langworthy; service=Retained,2020-06-08T00:00:00,Public,Seattle,Hemendra Pal,Kyle Langworthy,Retained
Avalara,Avalara - VP Content,Engineering,VP,2020,Placement,stage_at_placement=Public; geo=Seattle; candidate=Vsu Subramanian; owner=James Miller; service=Retained,2020-08-06T00:00:00,Public,Seattle,Vsu Subramanian,James Miller,Retained
Avalara,Avalara - Principal Architect,Engineering,Architect,2020,Placement,stage_at_placement=Public; geo=Seattle; candidate=Nicolas Nicolov; owner=James Miller; service=Bluebird,2020-08-19T00:00:00,Public,Seattle,Nicolas Nicolov,James Miller,Bluebird
Avalara,Avalara - Principal Architect2,Engineering,Architect,2020,Placement,stage_at_placement=Public; geo=Seattle; candidate=Tim Diekmann; owner=James Miller; service=Bluebird,2020-08-28T00:00:00,Public,Seattle,Tim Diekmann,James Miller,Bluebird
Avalara,Avalara - Director Core Services,Engineering,Director,2020,Placement,stage_at_placement=Public; geo=Seattle; candidate=Priya Poolavari; owner=Jim Campbell; service=Retained,2020-12-03T00:00:00,Public,Seattle,Priya Poolavari,Jim Campbell,Retained
Avalara,"Avalara - Dir of Engineering, Data Analytics & BI Products",Engineering,Director,2021,Placement,stage_at_placement=Public; geo=Seattle; candidate=Jay Ghorbani; owner=James Miller; service=Retained,2021-01-26T00:00:00,Public,Seattle,Jay Ghorbani,James Miller,Retained
Avalara,"Avalara - Sr. Director, IT",Information Technology,Director,2021,Placement,stage_at_placement=Public; geo=Seattle; candidate=Ryan Blackbourn; owner=James Miller; service=Retained,2021-05-10T00:00:00,Public,Seattle,Ryan Blackbourn,James Miller,Retained
Avalara,"Avalara - Sr Director/VP, Billing and Usage (as Sr. Director, Engineering)",Engineering,Director,2021,Placement,stage_at_placement=Public; geo=Seattle; candidate=Pradeep Ram; owner=James Miller; service=Retained,2021-08-16T00:00:00,Public,Seattle,Pradeep Ram,James Miller,Retained
Avalara,Avalara - Director of Cloud Connect,Engineering,Director,2021,Placement,stage_at_placement=Public; geo=Seattle; candidate=Adam Axelrod; owner=Chloe Kataev; service=Retained,2021-09-27T00:00:00,Public,Seattle,Adam Axelrod,Chloe Kataev,Retained
Avalara,Avalara - VP Determination,Engineering,VP,2022,Placement,stage_at_placement=Public; geo=Seattle; candidate=Kay Johansson; owner=James Miller; service=Retained,2022-01-26T00:00:00,Public,Seattle,Kay Johansson,James Miller,Retained
Avalara,Avalara - VP of Business Technology,Information Technology,VP,2024,Placement,stage_at_placement=PE-Backed; geo=Seattle; candidate=Sridevi Pasumarthi; owner=Matt Stravitz; service=Retained,2024-08-28T00:00:00,PE-Backed,Seattle,Sridevi Pasumarthi,Matt Stravitz,Retained
Avalara,Avalara - VP Product Security,Information Security,VP,2024,Placement,stage_at_placement=PE-Backed; geo=Seattle; candidate=Eric Veum; owner=Sean Cleary; service=Retained,2024-12-30T00:00:00,PE-Backed,Seattle,Eric Veum,Sean Cleary,Retained
Avalara,"Avalara - VP Engineering, Global Integrations",Engineering,VP,2025,Placement,stage_at_placement=PE-Backed; geo=Seattle; candidate=Nicolas Damonte; owner=Matt Stravitz; service=Retained,2025-05-07T00:00:00,PE-Backed,Seattle,Nicolas Damonte,Matt Stravitz,Retained
Avalara,Avalara - CIO,Information Technology,CXO,2025,Placement,stage_at_placement=PE-Backed; geo=Seattle; candidate=Shahan Parshad; owner=Matt Stravitz; service=Retained,2025-05-11T00:00:00,PE-Backed,Seattle,Shahan Parshad,Matt Stravitz,Retained
Avalara,"Avalara - Engineering, Head of AI",Engineering,Director,2025,Placement,stage_at_placement=PE-Backed; geo=Seattle; candidate=Keith Nordstrom; owner=James Miller; service=Retained,2025-06-08T00:00:00,PE-Backed,Seattle,Keith Nordstrom,James Miller,Retained
Avalara,Avalara - VP of AI Enablement,Information Technology,VP,2026,Placement,stage_at_placement=PE-Backed; geo=Seattle; candidate=Shalini Mayor; owner=James Miller; service=Retained,2026-06-24T00:00:00,PE-Backed,Seattle,Shalini Mayor,James Miller,Retained
AVIV Group,AVIV Group - Project Hive (Chief Data & AI Officer),Data/ML/AI,CXO,2025,Placement,stage_at_placement=PE-Backed; geo=Europe; candidate=Kshira Saagar; owner=James Ryan; service=Retained,2025-09-18T00:00:00,PE-Backed,Europe,Kshira Saagar,James Ryan,Retained
AVIV Group,"AVIV Group - CPTO, Belgium",Engineering,CXXO,2025,Placement,stage_at_placement=PE-Backed; geo=Europe; candidate=Martine van der Lee; owner=Lisa Morgan; service=Retained,2025-10-21T00:00:00,PE-Backed,Europe,Martine van der Lee,Lisa Morgan,Retained
AVIV Group,"AVIV Group - CPO, Germany",Product Management,CXO,2025,Placement,stage_at_placement=PE-Backed; geo=Europe; candidate=James Brooke; owner=James Ryan; service=Retained,2025-11-07T00:00:00,PE-Backed,Europe,James Brooke,James Ryan,Retained
AVIV Group,"AVIV Group - CPO, France",Product Management,CXO,2025,Placement,stage_at_placement=PE-Backed; geo=Europe; candidate=Julien MERAUD; owner=James Ryan; service=Retained,2025-12-04T00:00:00,PE-Backed,Europe,Julien MERAUD,James Ryan,Retained
Banyan Software,"Banyan Software - VP,  AI Enablement",Data/ML/AI,VP,2025,Placement,stage_at_placement=PE-Backed; geo=Bay Area; candidate=Mike Kazmier; owner=Jayme Karr; service=Retained,2025-12-09T00:00:00,PE-Backed,Bay Area,Mike Kazmier,Jayme Karr,Retained
Banyan Software,Banyan Software - Portfolio Product Partner,Operating Partner,Other,2026,Placement,stage_at_placement=PE-Backed; geo=Bay Area; candidate=Xavi Argente; owner=Adam Charlson; service=Retained,2026-04-29T00:00:00,PE-Backed,Bay Area,Xavi Argente,Adam Charlson,Retained
